epoch,step,loss,epoch_avg_loss,elapsed_s
1,235,0.026189761236310005,0.0700762447524578,45.2
2,470,0.027975425124168396,0.030978028175044567,90.2
3,705,0.026975668966770172,0.027302985020140384,135.1
4,940,0.019991258159279823,0.025766919481944532,179.9
5,1175,0.031233202666044235,0.02441125417801928,224.8
6,1410,0.024046368896961212,0.023971100603329375,269.9
7,1645,0.02408105880022049,0.02343280589643945,314.8
8,1880,0.022576086223125458,0.022945840950024887,359.8
9,2115,0.020584799349308014,0.022754526233419458,404.9
10,2350,0.02303561009466648,0.022402407260651284,449.7
11,2585,0.02613322250545025,0.021897045792417323,494.9
12,2820,0.020062418654561043,0.0220064011660028,540.1
13,3055,0.02191360853612423,0.021683094872439163,585.2
14,3290,0.023093722760677338,0.021419442888904124,630.0
15,3525,0.02403094992041588,0.0215244202775524,675.3
16,3760,0.020602872595191002,0.021148475980822076,720.5
17,3995,0.02493457682430744,0.02100666216079225,765.5
18,4230,0.022678446024656296,0.021101655751625273,810.3
19,4465,0.021272558718919754,0.02073271632035996,855.3
20,4700,0.019757281988859177,0.02103189317152855,900.5
21,4935,0.017038974910974503,0.02057877626032271,946.0
22,5170,0.021814588457345963,0.02071956493594545,991.5
23,5405,0.019338075071573257,0.020727238621800505,1036.7
24,5640,0.02395934984087944,0.020764591338786675,1082.0
25,5875,0.02400995045900345,0.020689337106144175,1127.1
26,6110,0.015472311526536942,0.02049825872354051,1172.4
27,6345,0.022127624601125717,0.02058515583581113,1217.4
28,6580,0.021827340126037598,0.020331288160795862,1262.3
29,6815,0.018771259114146233,0.020477567716164793,1307.3
30,7050,0.017326345667243004,0.020451635799984984,1352.2
