epoch,step,loss,epoch_avg_loss,elapsed_s
1,235,0.025493865832686424,0.06851042100089662,45.2
2,470,0.027158215641975403,0.030268267137890166,90.5
3,705,0.02707727439701557,0.02686534676146,135.3
4,940,0.019717605784535408,0.025131295906736496,180.1
5,1175,0.027699178084731102,0.02335000344096346,224.7
6,1410,0.021601689979434013,0.022741335788939863,269.8
7,1645,0.022920504212379456,0.02212262437381643,314.8
8,1880,0.020546099171042442,0.02152079292275804,359.7
9,2115,0.019352978095412254,0.021410711593133337,404.6
10,2350,0.021642666310071945,0.020977045936470335,449.4
11,2585,0.024577641859650612,0.02047946849401961,494.7
12,2820,0.01975022442638874,0.020477730875953715,539.8
13,3055,0.020698916167020798,0.020165244172862237,584.8
14,3290,0.021376248449087143,0.019920790896929327,629.6
15,3525,0.022374745458364487,0.019970107403524378,674.6
16,3760,0.018337048590183258,0.01954921515301821,719.8
17,3995,0.024046342819929123,0.019334639283887883,764.8
18,4230,0.020933011546730995,0.019438848315559802,809.9
19,4465,0.01990925893187523,0.019080452557573926,855.1
20,4700,0.018451858311891556,0.019268282578188054,900.4
21,4935,0.015399893745779991,0.01882771779089532,945.5
22,5170,0.01966867968440056,0.018929055666035793,990.3
23,5405,0.019271811470389366,0.019047326463809675,1035.2
24,5640,0.021531762555241585,0.019010041309322448,1080.3
25,5875,0.022302264347672462,0.01883227823579565,1125.5
26,6110,0.014827236533164978,0.018645714857476823,1170.7
27,6345,0.019724983721971512,0.018730130815442572,1215.6
28,6580,0.019257761538028717,0.018459938157429086,1260.4
29,6815,0.01633068546652794,0.018772459089597487,1305.2
30,7050,0.016208432614803314,0.018616491433312284,1350.4
