epoch,step,loss,epoch_avg_loss,elapsed_s
1,235,0.02525525540113449,0.06909885094203848,82.8
2,470,0.028391927480697632,0.031240558632193726,129.3
3,705,0.027495065703988075,0.02769821120544951,173.5
4,940,0.02115909941494465,0.026742421653359494,218.7
5,1175,0.03002363257110119,0.025239818131035947,263.4
6,1410,0.024154383689165115,0.024997526684657056,308.7
7,1645,0.024172058328986168,0.024502014043800376,353.3
8,1880,0.023354707285761833,0.0240569495140238,398.1
9,2115,0.02179356850683689,0.024101606613778054,442.9
10,2350,0.02413368411362171,0.023560708309424683,487.8
11,2585,0.02749446965754032,0.023181247100868125,533.1
12,2820,0.021553557366132736,0.0233537217879549,578.2
13,3055,0.0233647171407938,0.022879369216079408,623.2
14,3290,0.02526008151471615,0.022814649303859853,667.9
15,3525,0.02454064041376114,0.022969546573276215,712.7
16,3760,0.022273611277341843,0.02249250724277598,757.7
17,3995,0.027392510324716568,0.022402143494245855,802.8
18,4230,0.02544274926185608,0.02238863393505837,847.9
19,4465,0.022641601040959358,0.022108977874542805,892.8
20,4700,0.022470353171229362,0.02247927296668925,937.5
21,4935,0.01925996132194996,0.022105702060334225,982.4
22,5170,0.023416688665747643,0.022082322075011884,1027.4
23,5405,0.021840309724211693,0.022203778768790528,1072.3
24,5640,0.024179533123970032,0.022405230872174525,1117.3
25,5875,0.026576396077871323,0.022173761457521864,1162.0
26,6110,0.017286965623497963,0.022031258181371586,1207.2
27,6345,0.022869784384965897,0.022074625704516754,1252.1
28,6580,0.02227667346596718,0.02192749405636432,1297.1
29,6815,0.019211309030652046,0.022192825630624243,1342.2
30,7050,0.019145919010043144,0.022038716593004288,1387.1
