epoch,step,loss,epoch_avg_loss,elapsed_s
1,469,0.026928288862109184,0.05194797308873266,48.0
2,938,0.022495059296488762,0.02844506564504429,96.6
3,1407,0.02614026516675949,0.02625455826854528,144.3
4,1876,0.02261517010629177,0.025028298084717442,192.1
5,2345,0.014830771833658218,0.024328047091931676,240.1
6,2814,0.0329749770462513,0.023843741437583083,288.5
7,3283,0.0284445621073246,0.0237928452268084,336.6
8,3752,0.02147773467004299,0.023475200217812936,385.3
9,4221,0.025926072150468826,0.02342087040538155,433.3
10,4690,0.02188602089881897,0.022836745730531748,481.4
11,5159,0.02204037271440029,0.023004042528776216,529.6
12,5628,0.02476142905652523,0.022608646517321626,577.7
13,6097,0.01947244256734848,0.02253004893469912,625.9
14,6566,0.019565237686038017,0.02236933536978482,674.1
15,7035,0.02531452104449272,0.02245679233215257,722.2
16,7504,0.022358449175953865,0.022165267217928157,770.4
17,7973,0.021196112036705017,0.02225866711843433,818.2
18,8442,0.025006186217069626,0.022128079328805145,866.4
19,8911,0.031000252813100815,0.022038582583337324,914.4
20,9380,0.023221394047141075,0.022272537361139426,962.5
21,9849,0.025097554549574852,0.0220871598545168,1011.2
22,10318,0.023995129391551018,0.021953977070558173,1059.2
23,10787,0.01760612428188324,0.021836690340580334,1107.1
24,11256,0.028166741132736206,0.02192850997929634,1155.2
25,11725,0.024183539673686028,0.02180923216704176,1203.4
26,12194,0.016868295148015022,0.0214357568479296,1251.7
27,12663,0.02286684885621071,0.021464142882858892,1299.4
28,13132,0.021571600809693336,0.021648938386345597,1347.3
29,13601,0.026414886116981506,0.02188960847053637,1395.1
30,14070,0.022144528105854988,0.021427931665166863,1443.2
